index,cooks_d,leverage,residual
36,0.29760171125595636,0.24522151369659206,0.7646488101158043
32,0.29621177179121094,0.4214028811382145,0.44610054107651187
6,0.20450016641797367,0.6042335038350937,0.21173250427198054
21,0.09840726929509117,0.2951567758215858,-0.37426896593111625
12,0.08248402532047602,0.40174865234529455,0.24928461224107812
27,0.08013094863243538,0.40911129793471357,-0.240485650927686
34,0.05530323716888427,0.43144150018456306,-0.18719470113801115
28,0.054168564823932314,0.6300648927104896,0.09974948196170907
13,0.0530849029456438,0.3738722169750157,-0.21696564354673428
35,0.045993715998208805,0.18309087366836907,-0.37652492060427367
3,0.04115952272974515,0.4280733448101759,-0.1630874290200643
10,0.012303549627811489,0.24022815034221953,0.15812135926549906
1,0.01226336403878303,0.15292086522638124,-0.22059694713956632
20,0.010403106416898253,0.17922888911553364,0.18184595817082577
14,0.010395691303387664,0.4207904649961466,-0.08372082928149169
29,0.006060466293468305,0.5490037225831595,0.043575503027329376
17,0.006060466293466985,0.5490037225831598,-0.043575503027332374
5,0.0038495750907796976,0.12796049480871538,-0.13909409039345164
9,0.003317113567227624,0.1508509783259888,0.11579614327279145
30,0.0031844928233890975,0.16547208607180552,-0.10646398321571568
18,0.0030789827139266696,0.8976278942885645,-0.005513675064221957
25,0.0023405877941934895,0.173823518470265,-0.08816274509817817
4,0.0016101333610153172,0.4417885055166767,0.030990356328022856
26,0.0011176723344779498,0.404232602490762,-0.02880861579738518
33,0.0009250448444024657,0.312016566691982,-0.03444884169103149
31,0.0002722004141530148,0.28196642292670204,-0.020516086593079727
0,0.00015101569620092488,0.27364119116537866,0.015691902202992367
2,7.734493102187716e-05,0.25602647127645445,0.011891456534794023
